text,label
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
My score report shows missing sections.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
The PDF download for my result is corrupted.,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
The results portal shows an invalid candidate message.,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
My score report shows missing sections.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
My score report shows missing sections.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
My score report shows missing sections.,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
My score report shows missing sections.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
The results portal shows an invalid candidate message.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
My score report shows missing sections.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
The results portal shows an invalid candidate message.,results
The PDF download for my result is corrupted.,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
The results portal shows an invalid candidate message.,results
The results portal shows an invalid candidate message.,results
The results portal shows an invalid candidate message.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
The results portal shows an invalid candidate message.,results
The PDF download for my result is corrupted.,results
When will my detailed exam results be released?,results
I believe there is an error in the marking of my exam.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
My score report shows missing sections.,results
When will my detailed exam results be released?,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
My score report shows missing sections.,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
When will my detailed exam results be released?,results
The results portal shows an invalid candidate message.,results
When will my detailed exam results be released?,results
The PDF download for my result is corrupted.,results
The results portal shows an invalid candidate message.,results
I believe there is an error in the marking of my exam.,results
The PDF download for my result is corrupted.,results
I believe there is an error in the marking of my exam.,results
I believe there is an error in the marking of my exam.,results
My score report shows missing sections.,results
My score report shows missing sections.,results
The PDF download for my result is corrupted.,results
My score report shows missing sections.,results
Please reschedule my exam to next available slot.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
I need an urgent reschedule due to illness.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
Can I defer my exam by a week?,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
I selected the wrong date by mistake and need to change it.,postponement/rescheduling
I need to postpone my exam due to travel.,postponement/rescheduling
Please reschedule my exam to next available slot.,postponement/rescheduling
